model_or_baseline,partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,mean_cardinality_error,duplicate_nearest_anchor_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_matched_margin_error,median_matched_margin_error,mean_matched_euclidean_error,median_matched_euclidean_error,mean_scene_normalized_error,median_scene_normalized_error,margin_undefined_gt_count
gaze_copy,scene5,800,800,0,1.0,0.4717920353982301,0.5014697236919459,0.4861783984041037,0.04625,0.73875,0.16911764705882354,0.23420170234717566,0.3647149858137735,0.5117358782563839,2.21438977631776,1.4777698990611134,5.834867250411804,3.07614369816818,0.10150694244227312,0.052791377016459695,0
hand_copy,scene1,800,800,0,1.0,0.096875,0.0746987951807229,0.08435374149659863,0.00125,1.00875,0.42831621259490843,0.0,0.0020518081559374197,0.00615542446781226,9.578558146129284,7.385696643147364,47.88437723846712,40.89715190675638,0.39799328856358823,0.3488355491270988,0
hand_copy,scene2,800,800,0,1.0,0.08291597106288258,0.07160019221528112,0.07684373388344508,0.00125,0.9575,0.06161879895561358,0.0,0.0035035035035035035,0.03303303303303303,13.835041613612212,8.313753834429134,4.731485349628035,4.1063112741158525,0.34218662505663633,0.3106588752312064,0
hand_copy,scene3,800,800,0,1.0,0.12012480499219969,0.12379421221864952,0.12193190815518606,0.0,0.93375,0.12709940989559693,0.005406733841238635,0.02359302039813222,0.09633816662570656,6.112282788498486,4.050885804595468,22.924452473803054,14.359551208266724,0.337445600603989,0.21931675530457923,0
hand_copy,scene4_room1,200,200,0,1.0,0.05504587155963303,0.04455445544554455,0.04924760601915185,0.005,0.77,0.31875,0.0,0.0,0.0,60.33581257099458,52.598528420557464,28.666329793913054,30.65036289408243,4.091926458026014,4.398487289989839,0
hand_copy,scene4_room2,200,200,0,1.0,0.0847457627118644,0.06596306068601583,0.0741839762611276,0.0,0.785,0.38284518828451886,0.0,0.0,0.0,70.86443992132155,46.07483945087904,18.883348486226573,17.17760323877402,2.6307004173032364,2.4300991293371315,36
hand_copy,scene4_room3,200,200,0,1.0,0.050746268656716415,0.04461942257217848,0.04748603351955307,0.0,0.99,0.41739130434782606,0.0,0.0,0.0,65.77980092098285,51.89961670093788,23.370792403359598,23.911605275134143,3.789876863852545,3.8930379470820085,0
hand_copy,scene4_room4,200,200,0,1.0,0.07009345794392523,0.03768844221105527,0.049019607843137254,0.0,0.69,0.41847826086956524,0.0,0.0,0.0,33.97241643547308,30.04665560775095,11.775349895511882,10.956304252373958,1.4887146168238974,1.390002823447373,4
hand_copy,scene5,800,800,0,1.0,0.146455223880597,0.09229864785420341,0.11323476379372521,0.0,0.74375,0.5059907834101383,0.0,0.0036166365280289334,0.017566520278997678,7.895017253586679,6.721741746689915,21.555447720444413,18.717950548247956,0.3731236620181887,0.32837033939845656,0
gaze_hand_fusion,scene1,800,800,0,1.0,0.4246137453383058,0.48012048192771084,0.4506644048628782,0.01125,1.0975,0.21791666666666668,0.09507389162561575,0.24285714285714285,0.3926108374384236,3.5692296114645288,1.984561715871905,19.34848241983108,8.611119088318134,0.16043377112899176,0.07406817286661357,0
gaze_hand_fusion,scene2,800,800,0,1.0,0.23186470850022253,0.25036040365209034,0.24075785582255083,0.0025,0.93875,0.04788135593220339,0.00900698040981761,0.04098176086467012,0.15582076108984463,8.746238577939693,4.7830311039135855,3.070533126285489,1.9135164752710057,0.2289012672213361,0.14941082896878116,0
gaze_hand_fusion,scene3,800,800,0,1.0,0.4348021582733813,0.5182207931404073,0.4728606356968215,0.0125,1.055,0.07178631051752922,0.12435476302205538,0.32473017362740497,0.5358986391365557,1.9494673908881217,1.3026366668800997,8.396017473204356,3.7384016643697606,0.12075965982009401,0.05940567498757898,0
gaze_hand_fusion,scene4_room1,200,200,0,1.0,0.4022140221402214,0.5396039603960396,0.4608879492600423,0.015,1.105,0.09515859766277128,0.13160518444666,0.30109670987038883,0.452642073778664,7.2819688397955895,1.6669319468436112,4.770373539826764,0.6441068144924963,0.670160014684875,0.08732680183259636,0
gaze_hand_fusion,scene4_room2,200,200,0,1.0,0.23992673992673993,0.34564643799472294,0.28324324324324324,0.0,1.095,0.08080808080808081,0.0192102454642476,0.07897545357524013,0.22198505869797228,6.012427795013753,2.650323297004726,4.447950418931869,0.8835562708790781,0.6458789782983276,0.12971873503394193,36
gaze_hand_fusion,scene4_room3,200,200,0,1.0,0.46296296296296297,0.6561679790026247,0.5428881650380021,0.005,1.09,0.09849749582637729,0.1306122448979592,0.2714285714285714,0.4265306122448979,6.123774428523195,1.605129861875796,2.9322004449814605,0.5655053387723564,0.47053963433176643,0.0918432286358096,0
gaze_hand_fusion,scene4_room4,200,200,0,1.0,0.3058608058608059,0.41959798994974873,0.35381355932203395,0.005,0.99,0.052083333333333336,0.030927835051546393,0.17938144329896905,0.32783505154639175,7.482615422394739,2.7710466955578257,2.9992875915354733,0.8705912346986215,0.36723660629227683,0.10287211561632159,4
gaze_hand_fusion,scene5,800,800,0,1.0,0.44705294705294707,0.5261610817166372,0.4833918444504456,0.0125,0.89375,0.164440734557596,0.2211374176226507,0.3436660971442519,0.4832804491091042,2.2846384402812054,1.596811440574989,6.096495759300635,3.2413746432836645,0.1059801281715739,0.05587545935120156,0
