variant,partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_scene_normalized_error,mean_matched_euclidean_error,delta_anchor_f1_vs_full,delta_margin_f1_at_1_vs_full
no_hand,scene:scene4_room2,200,200,0,1.0,0.3200992555831266,0.3403693931398417,0.329923273657289,0.025,0.02142857142857143,0.09761904761904762,0.2595238095238095,0.3491427940560717,2.9974293309378868,0.0,0.0
no_hand,scene:scene4_room3,200,200,0,1.0,0.6050228310502284,0.6955380577427821,0.6471306471306472,0.04,0.16373056994818655,0.3626943005181347,0.5367875647668393,0.13591099087211955,0.8503194777330048,0.0,0.0
no_hand,scene:scene4_room4,200,200,0,1.0,0.43523316062176165,0.4221105527638191,0.42857142857142855,0.015,0.07033997655334116,0.26025791324736225,0.4337631887456037,0.16240352159796764,1.3033213040644238,0.0,0.0
no_hand,scene:scene5,800,800,0,1.0,0.47159404302261443,0.5026455026455027,0.48662492885600456,0.025,0.22552664188351917,0.352912019826518,0.4936802973977695,0.10422425435450362,5.986713382987491,0.0006009699284518222,0.0007888512146480564
no_gaze_hand,overall,4000,3999,1,0.99975,0.09338842975206611,0.03821871476888388,0.054240000000000003,0.0,0.0,0.0,0.0036806495263870093,0.5375864814895779,21.75872729675708,-0.37837821608736627,-0.25029085942637463
no_gaze_hand,single_target,930,929,1,0.9989247311827957,0.055916775032509754,0.046236559139784944,0.050618010594467334,0.0,0.0,0.0,0.002031144211238998,0.6229513335085237,21.83280742294404,-0.38549310051664376,-0.2240325865580448
no_gaze_hand,multi_target,3070,3070,0,1.0,0.1034603285564488,0.03727959697732997,0.054809739838903804,0.0,0.0,0.0,0.003994587977578764,0.5275138541809912,21.74997667564913,-0.3771448745815725,-0.25581680137154056
no_gaze_hand,scene:scene1,800,800,0,1.0,0.1457975986277873,0.05120481927710843,0.07579135086937137,0.0,0.0,0.0,0.0005920663114268798,0.4273313091416706,50.738608109384884,-0.37870206641740595,-0.24478649453823237
no_gaze_hand,scene:scene2,800,800,0,1.0,0.06282051282051282,0.023546371936568958,0.034253757427472914,0.0,0.0,0.0,0.0,0.4954254601158621,6.698156817192512,-0.23097019828465595,-0.047351720771296076
no_gaze_hand,scene:scene3,800,800,0,1.0,0.05521472392638037,0.024115755627009645,0.03356956359567326,0.0,0.0,0.0,0.007028112449799197,0.36289082565146785,25.8032660525392,-0.45523928641719014,-0.3336614173228346
